"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-01","0.0",",,7,0700","1.7",",,7","2.8",",,7","0.0",",,7,0700","0.0",",,7,0700","3.9",",,7","4.4",",,7","0.0",",,7","-3.9",",,7","-3.3",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-02","0.0",",,7,0700","1.1",",,7","1.7",",,7","0.0",",,7,0700","0.0",",,7,0700","1.7",",,7","2.8",",,7","6.7",",,7","-5.0",",,7","0.6",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-03","0.0",",,7,0700","1.1",",,7","1.7",",,7","0.0",",,7,0700","0.0",",,7,0700","2.2",",,7","2.2",",,7","2.2",",,7","-4.4",",,7","-3.3",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-04","0.0",",,7,0700","1.1",",,7","1.7",",,7","0.0",",,7,0700","0.0",",,7,0700","2.8",",,7","2.8",",,7","5.0",",,7","-3.9",",,7","-0.6",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-05","0.0",",,7,0700","1.1",",,7","1.7",",,7","0.0",",,7,0700","0.0",",,7,0700","1.7",",,7","2.2",",,7","2.8",",,7","-2.2",",,7","0.0",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-06","1.5",",,7,0700","1.7",",,7","1.7",",,7","0.0","T,,7,0700","0.0","T,,7,0700","2.8",",,7","2.8",",,7","1.7",",,7","0.0",",,7","0.6",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-07","0.0","T,,7,0700","1.7",",,7","2.2",",,7","0.0","T,,7,0700","0.0",",,7,0700","4.4",",,7","3.9",",,7","3.3",",,7","-0.6",",,7","0.0",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-08","0.0",",,7,0700","1.1",",,7","1.7",",,7","0.0",",,7,0700","0.0",",,7,0700","1.7",",,7","2.2",",,7","3.9",",,7","0.0",",,7","1.1",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-09","20.3",",,7,0700","1.1",",,7","1.7",",,7","43.0",",,7,0700","51.0",",,7,0700","1.1",",,7","1.7",",,7","1.7",",,7","-2.8",",,7","-2.8",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-10","1.8",",,7,0700","1.1",",,7","1.7",",,7","25.0",",,7,0700","76.0",",,7,0700","1.7",",,7","1.7",",,7","4.4",",,7","-6.7",",,7","2.2",",,7,",,,,,,,,,,
