,PRCP,TMIN,TMAX
2024-01-01,0.0,-3.9,0.0
2024-01-02,0.0,-5.0,6.7
2024-01-03,0.0,-4.4,2.2
2024-01-04,0.0,,5.0
2024-01-05,0.0,-2.2,2.8
2024-01-06,1.5,0.0,1.7
2024-01-07,0.0,-0.6,3.3
2024-01-08,0.0,0.0,3.9
2024-01-09,20.3,-2.8,1.7
2024-01-10,1.8,-6.7,
2024-01-11,0.0,-1.1,4.4
2024-01-12,0.5,-11.7,4.4
2024-01-13,0.8,-20.6,-11.1
2024-01-14,0.5,-23.9,-19.4
2024-01-15,,-22.8,-15.6
2024-01-16,1.0,-20.6,-11.7
2024-01-17,0.0,-13.3,3.3
2024-01-18,0.0,-6.7,3.9
2024-01-19,0.5,-16.1,-6.7
2024-01-20,0.0,,-9.4
2024-01-21,0.0,-14.4,0.6
2024-01-22,4.1,-2.2,2.2
2024-01-23,15.5,1.1,5.0
2024-01-24,8.4,2.2,6.7
2024-01-25,,2.2,5.0
2024-01-26,10.7,1.7,4.4
2024-01-27,0.0,1.1,3.9
2024-01-28,0.5,-2.2,2.8
2024-01-29,0.0,-5.0,14.4
2024-01-30,0.0,2.8,8.3
2024-01-31,0.0,-2.2,12.8
2024-02-01,0.0,4.4,20.0
2024-02-02,0.0,5.0,
2024-02-03,0.0,,16.1
2024-02-04,0.0,2.8,10.6
2024-02-05,0.0,0.6,13.3
2024-02-06,0.0,-3.9,14.4
2024-02-07,0.0,4.4,17.2
2024-02-08,0.0,9.4,21.7
2024-02-09,0.0,4.4,18.9
2024-02-10,0.0,1.1,7.2
2024-02-11,0.0,-1.7,5.6
2024-02-12,0.0,0.0,
2024-02-13,0.0,-2.8,16.1
2024-02-14,0.0,0.0,17.2
2024-02-15,0.0,3.9,12.2
2024-02-16,0.5,-4.4,3.9
2024-02-17,4.3,-10.6,-2.8
2024-02-18,0.0,,10.0
2024-02-19,0.0,-4.4,13.9
2024-02-20,0.0,1.1,18.3
2024-02-21,0.0,6.1,21.7
2024-02-22,0.0,8.3,19.4
2024-02-23,0.0,3.9,17.2
2024-02-24,0.0,0.0,10.6
2024-02-25,0.0,6.1,22.8
2024-02-26,,3.9,26.1
2024-02-27,,-0.6,26.1
2024-02-28,0.8,-7.2,2.2
2024-02-29,0.0,-5.0,12.2
2024-03-01,0.0,1.7,10.0
2024-03-02,0.0,2.2,20.6
2024-03-03,0.0,12.2,27.8
2024-03-04,0.0,9.4,26.1
2024-03-05,0.5,6.7,10.0
2024-03-06,0.0,2.8,16.1
2024-03-07,0.0,5.0,12.2
2024-03-08,15.5,3.9,11.7
2024-03-09,0.0,,10.6
2024-03-10,0.0,,13.9
2024-03-11,0.0,5.0,20.6
2024-03-12,0.0,8.9,23.9
2024-03-13,13.2,11.1,23.9
2024-03-14,17.8,9.4,24.4
2024-03-15,1.5,6.7,16.7
2024-03-16,0.0,6.1,18.3
2024-03-17,0.0,-0.6,10.0
2024-03-18,0.0,-3.9,2.8
2024-03-19,0.0,-2.2,18.9
2024-03-20,,3.3,12.8
2024-03-21,0.0,1.1,14.4
2024-03-22,0.0,,17.8
2024-03-23,0.0,0.6,10.0
2024-03-24,0.0,5.0,18.9
2024-03-25,4.3,8.9,15.0
2024-03-26,26.9,1.7,10.6
2024-03-27,0.0,-2.2,10.0
2024-03-28,0.0,1.7,18.3
2024-03-29,0.0,7.8,24.4
2024-03-30,0.0,14.4,22.2
2024-03-31,0.0,12.8,26.7
2024-04-01,0.0,13.3,21.7
2024-04-02,23.6,5.0,16.1
2024-04-03,4.1,2.8,11.7
2024-04-04,0.8,2.8,11.7
2024-04-05,,0.0,13.9
2024-04-06,0.0,4.4,
2024-04-07,,10.0,22.2
2024-04-08,0.0,10.6,26.1
2024-04-09,0.0,10.0,20.0
2024-04-10,0.0,10.6,17.8
2024-04-11,0.5,10.6,17.8
2024-04-12,0.0,7.8,20.0
2024-04-13,0.0,6.1,29.4
2024-04-14,,18.3,30.0
2024-04-15,0.0,16.1,29.4
2024-04-16,0.0,20.0,27.2
2024-04-17,1.3,15.6,26.1
2024-04-18,0.0,8.9,26.7
2024-04-19,0.8,5.0,16.7
2024-04-20,0.0,6.1,
2024-04-21,0.0,,
2024-04-22,0.0,3.3,20.6
2024-04-23,0.0,11.1,20.0
2024-04-24,1.0,5.0,21.7
2024-04-25,0.0,8.9,
2024-04-26,10.4,11.1,20.6
2024-04-27,10.2,16.1,23.9
2024-04-28,22.6,15.0,
2024-04-29,32.3,13.3,23.3
2024-04-30,0.0,12.2,28.9
2024-05-01,2.3,17.8,25.6
2024-05-02,0.0,16.7,27.2
2024-05-03,11.7,13.9,
2024-05-04,0.0,13.9,25.6
2024-05-05,0.0,9.4,
2024-05-06,3.3,15.0,25.6
2024-05-07,17.5,14.4,26.1
2024-05-08,0.8,10.6,21.1
2024-05-09,3.8,13.3,23.3
2024-05-10,0.0,11.7,22.2
2024-05-11,0.0,12.8,25.6
2024-05-12,0.0,13.3,27.8
2024-05-13,0.0,16.1,22.2
2024-05-14,2.8,16.1,21.1
2024-05-15,0.5,16.1,
2024-05-16,0.8,17.2,24.4
2024-05-17,5.3,15.0,27.8
2024-05-18,0.0,16.7,29.4
2024-05-19,0.0,19.4,31.1
2024-05-20,0.0,20.0,29.4
2024-05-21,0.0,18.3,31.1
2024-05-22,0.0,15.0,23.9
2024-05-23,0.0,13.3,27.8
2024-05-24,0.0,17.8,30.6
2024-05-25,0.0,13.3,26.7
2024-05-26,12.4,16.7,27.8
