"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-01","0.00",",,7,0700","35",",,7","37",",,7","0.0",",,7,0700","0.0",",,7,0700","39",",,7","40",",,7","32",",,7","25",",,7","26",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-02","0.00",",,7,0700","34",",,7","35",",,7","0.0",",,7,0700","0.0",",,7,0700","35",",,7","37",",,7","44",",,7","23",",,7","33",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-03","0.00",",,7,0700","34",",,7","35",",,7","0.0",",,7,0700","0.0",",,7,0700","36",",,7","36",",,7","36",",,7","24",",,7","26",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-04","0.00",",,7,0700","34",",,7","35",",,7","0.0",",,7,0700","0.0",",,7,0700","37",",,7","37",",,7","41",",,7","25",",,7","31",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-05","0.00",",,7,0700","34",",,7","35",",,7","0.0",",,7,0700","0.0",",,7,0700","35",",,7","36",",,7","37",",,7","28",",,7","32",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-06","0.06",",,7,0700","35",",,7","35",",,7","0.0","T,,7,0700","0.0","T,,7,0700","37",",,7","37",",,7","35",",,7","32",",,7","33",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-07","0.00","T,,7,0700","35",",,7","36",",,7","0.0","T,,7,0700","0.0",",,7,0700","40",",,7","39",",,7","38",",,7","31",",,7","32",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-08","0.00",",,7,0700","34",",,7","35",",,7","0.0",",,7,0700","0.0",",,7,0700","35",",,7","36",",,7","39",",,7","32",",,7","34",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-09","0.80",",,7,0700","34",",,7","35",",,7","1.7",",,7,0700","2.0",",,7,0700","34",",,7","35",",,7","35",",,7","27",",,7","27",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-10","0.07",",,7,0700","34",",,7","35",",,7","1.0",",,7,0700","3.0",",,7,0700","35",",,7","35",",,7","40",",,7","20",",,7","36",",,7,",,,,,,,,,,
